Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-10-08,08/10/2020,Amapá,0.3477761470231638,0.3477761470231638
2020-10-09,09/10/2020,Amapá,0.3424127025108114,0.3424127025108114
2020-10-10,10/10/2020,Amapá,0.361122060176061,0.361122060176061
2020-10-11,11/10/2020,Amapá,0.4287228030517095,0.4287228030517095
2020-10-12,12/10/2020,Amapá,0.4090141225758498,0.4090141225758498
2020-10-13,13/10/2020,Amapá,0.3580756929637527,0.3580756929637527
2020-10-14,14/10/2020,Amapá,0.3552770448548813,0.3552770448548813
2020-10-15,15/10/2020,Amapá,0.3581519919651825,0.3581519919651825
2020-10-16,16/10/2020,Amapá,0.3570383182543907,0.3570383182543907
2020-10-17,17/10/2020,Amapá,0.3806885086929418,0.3806885086929418
2020-10-18,18/10/2020,Amapá,0.438265306122449,0.438265306122449
2020-10-19,19/10/2020,Amapá,0.363237010089917,0.363237010089917
2020-10-20,20/10/2020,Amapá,0.3622574473899973,0.3622574473899973
2020-10-21,21/10/2020,Amapá,0.3668205267445018,0.3668205267445018
2020-10-22,22/10/2020,Amapá,0.3656609684669346,0.3656609684669346
2020-10-23,23/10/2020,Amapá,0.354840902909981,0.354840902909981
2020-10-24,24/10/2020,Amapá,0.3910793673930472,0.3910793673930472
2020-10-25,25/10/2020,Amapá,0.4541498052989234,0.4541498052989234
2020-10-26,26/10/2020,Amapá,0.3686846689895471,0.3686846689895471
2020-10-27,27/10/2020,Amapá,0.357532027683699,0.357532027683699
2020-10-28,28/10/2020,Amapá,0.3813827383642115,0.3813827383642115
2020-10-29,29/10/2020,Amapá,0.3696192989068979,0.3696192989068979
2020-10-30,30/10/2020,Amapá,0.3612537359184612,0.3612537359184612
2020-10-31,31/10/2020,Amapá,0.3857097440788428,0.3857097440788428
2020-11-01,01/11/2020,Amapá,0.4631525509772402,0.4631525509772402
2020-11-02,02/11/2020,Amapá,0.489197259792728,0.489197259792728
2020-11-03,03/11/2020,Amapá,0.3495927762039661,0.3495927762039661
2020-11-04,04/11/2020,Amapá,0.4974454249883884,0.4974454249883884
2020-11-05,05/11/2020,Amapá,0.3877688172043011,0.3877688172043011
2020-11-06,06/11/2020,Amapá,0.3903536977491962,0.3903536977491962
2020-11-07,07/11/2020,Amapá,0.4334989354151881,0.4334989354151881
2020-11-08,08/11/2020,Amapá,0.4632392115077252,0.4632392115077252
2020-11-09,09/11/2020,Amapá,0.3862811028917283,0.3862811028917283
2020-11-10,10/11/2020,Amapá,0.3682212581344903,0.3682212581344903
2020-11-11,11/11/2020,Amapá,0.3554386865059005,0.3554386865059005
2020-11-12,12/11/2020,Amapá,0.368937115962871,0.368937115962871
2020-11-13,13/11/2020,Amapá,0.3622910386407235,0.3622910386407235
2020-11-14,14/11/2020,Amapá,0.378664168116718,0.378664168116718
2020-11-15,15/11/2020,Amapá,0.4499137587899695,0.4499137587899695
2020-11-16,16/11/2020,Amapá,0.3748033560566335,0.3748033560566335
2020-11-17,17/11/2020,Amapá,0.3760881392818281,0.3760881392818281
2020-11-18,18/11/2020,Amapá,0.3944429672959319,0.3944429672959319
2020-11-19,19/11/2020,Amapá,0.3882352941176471,0.3882352941176471
2020-11-20,20/11/2020,Amapá,0.4160756501182033,0.4160756501182033
2020-11-21,21/11/2020,Amapá,0.4033035099793531,0.4033035099793531
2020-11-22,22/11/2020,Amapá,0.4998612267554816,0.4998612267554816
2020-11-23,23/11/2020,Amapá,0.4051047120418848,0.4051047120418848
2020-11-24,24/11/2020,Amapá,0.4102197373553504,0.4102197373553504
2020-11-25,25/11/2020,Amapá,0.3903623949579832,0.3903623949579832
2020-11-26,26/11/2020,Amapá,0.4051690883374052,0.4051690883374052
2020-11-27,27/11/2020,Amapá,0.3783431180691455,0.3783431180691455
2020-11-28,28/11/2020,Amapá,0.4139090664514393,0.4139090664514393
2020-11-29,29/11/2020,Amapá,0.4948937344741928,0.4948937344741928
2020-11-30,30/11/2020,Amapá,0.4206905675353883,0.4206905675353883
2020-12-01,01/12/2020,Amapá,0.3981085632853997,0.3981085632853997
2020-12-02,02/12/2020,Amapá,0.3814700432365658,0.3814700432365658
2020-12-03,03/12/2020,Amapá,0.3793856986767027,0.3793856986767027
2020-12-04,04/12/2020,Amapá,0.3727728983688834,0.3727728983688834
2020-12-05,05/12/2020,Amapá,0.4124017016887972,0.4124017016887972
2020-12-06,06/12/2020,Amapá,0.4222434237426741,0.4222434237426741
2020-12-07,07/12/2020,Amapá,0.4146021759077206,0.4146021759077206
2020-12-08,08/12/2020,Amapá,0.4399359316604378,0.4399359316604378
2020-12-09,09/12/2020,Amapá,0.3942827710533093,0.3942827710533093
2020-12-10,10/12/2020,Amapá,0.3977987421383648,0.3977987421383648
2020-12-11,11/12/2020,Amapá,0.3843162670123137,0.3843162670123137
2020-12-12,12/12/2020,Amapá,0.4157059541570595,0.4157059541570595
2020-12-13,13/12/2020,Amapá,0.4867010165715082,0.4867010165715082
2020-12-14,14/12/2020,Amapá,0.3945641986879101,0.3945641986879101
2020-12-15,15/12/2020,Amapá,0.403439333970247,0.403439333970247
2020-12-16,16/12/2020,Amapá,0.3976678729392843,0.3976678729392843
2020-12-17,17/12/2020,Amapá,0.395000668359845,0.395000668359845
2020-12-18,18/12/2020,Amapá,0.3697775366250679,0.3697775366250679
2020-12-19,19/12/2020,Amapá,0.4053939565094606,0.4053939565094606
2020-12-20,20/12/2020,Amapá,0.4249432463110102,0.4249432463110102
2020-12-21,21/12/2020,Amapá,0.3936049801924165,0.3936049801924165
2020-12-22,22/12/2020,Amapá,0.3838855848201643,0.3838855848201643
2020-12-23,23/12/2020,Amapá,0.3799241318937847,0.3799241318937847
2020-12-24,24/12/2020,Amapá,0.3799794208437454,0.3799794208437454
2020-12-25,25/12/2020,Amapá,0.4669199113643558,0.4669199113643558
2020-12-26,26/12/2020,Amapá,0.4903758020164986,0.4903758020164986
2020-12-27,27/12/2020,Amapá,0.5135606661379858,0.5135606661379858
2020-12-28,28/12/2020,Amapá,0.4263817243920413,0.4263817243920413
2020-12-29,29/12/2020,Amapá,0.4153593306439564,0.4153593306439564
2020-12-30,30/12/2020,Amapá,0.3953521939953811,0.3953521939953811
2020-12-31,31/12/2020,Amapá,0.393609188632013,0.393609188632013
2021-01-01,01/01/2021,Amapá,0.4713258652399264,0.4713258652399264
2021-01-02,02/01/2021,Amapá,0.4958732254869594,0.4958732254869594
2021-01-03,03/01/2021,Amapá,0.545819397993311,0.545819397993311
2021-01-04,04/01/2021,Amapá,0.416469893742621,0.416469893742621
2021-01-05,05/01/2021,Amapá,0.4156327543424318,0.4156327543424318
2021-01-06,06/01/2021,Amapá,0.4146945088940449,0.4146945088940449
2021-01-07,07/01/2021,Amapá,0.4264501160092808,0.4264501160092808
2021-01-08,08/01/2021,Amapá,0.4234797561356886,0.4234797561356886
2021-01-09,09/01/2021,Amapá,0.4336906095024796,0.4336906095024796
2021-01-10,10/01/2021,Amapá,0.5199260131158568,0.5199260131158568
2021-01-11,11/01/2021,Amapá,0.4164255866280939,0.4164255866280939
2021-01-12,12/01/2021,Amapá,0.42620016273393,0.42620016273393
2021-01-13,13/01/2021,Amapá,0.4076328343477546,0.4076328343477546
2021-01-14,14/01/2021,Amapá,0.421126981635536,0.421126981635536
2021-01-15,15/01/2021,Amapá,0.4152641226462257,0.4152641226462257
2021-01-16,16/01/2021,Amapá,0.461336599020294,0.461336599020294
2021-01-17,17/01/2021,Amapá,0.5295922049801516,0.5295922049801516
2021-01-18,18/01/2021,Amapá,0.4405867970660147,0.4405867970660147
2021-01-19,19/01/2021,Amapá,0.4416973522707347,0.4416973522707347
2021-01-20,20/01/2021,Amapá,0.4442884716616951,0.4442884716616951
2021-01-21,21/01/2021,Amapá,0.4288464904603536,0.4288464904603536
2021-01-22,22/01/2021,Amapá,0.4143035491350099,0.4143035491350099
